Depth_min,Depth_max,T_Coast_N_Pac_min,T_Coast_N_Pac_max,S_Coast_N_Pac_min,S_Coast_N_Pac_max,O_Coast_N_Pac_min_umol_kg,O_Coast_N_Pac_max_umol_kg
0,50,-2.1,35,0,40,0,436
50,100,-2.1,35,20,40,0,349
100,250,-2.1,30,26,40,0,349
250,300,-2.1,28,26,40,0,349
300,500,-2.1,28,30,40,0,349
500,600,-2.1,28,30.5,40,0,349
600,700,-2.1,20,30.5,40,0,305
700,800,-2.1,20,32,40,0,305
800,1000,-2.1,20,33,40,0,305
1000,1100,-2.1,18,33,40,0,305
1100,1750,-2.1,18,33,38,0,305
1750,2500,-2.1,13,33,38,0,305
2500,3000,-2.1,13,33,35.5,0,305
3000,4000,-2.1,7,33,35.5,0,305
4000,5000,-1.5,7,33,35.5,0,218
5000,5500,-1.5,3,34.3,35.5,0,218
